Email Campaign Report,,,,
Title:,"AEX | Win R10,000",,,
Subject Line:,"You haven't yet invested. Here's 10,000 reason why you should...",,,
Delivery Date/Time:,"Thu, Jul 27, 2023 1:49 pm",,,
,,,,
Overall Stats,,,,
Total Recipients:,379,,,
Successful Deliveries:,373,,,67.02412869
Bounces:,6 (1.6%),,,
Times Forwarded:,0,,,
Forwarded Opens:,0,,,
Recipients Who Opened:,152 (40.8%),,,
Total Opens:,250,,,
Last Open Date:,5/24/24 11:16AM,,,
Recipients Who Clicked:,31 (8.3%),,,
Total Clicks:,64,,,
Last Click Date:,2/1/24 5:21PM,,,
Total Unsubs:,3,,,
Total Abuse Complaints:,0,,,
Times Liked on Facebook:,0,,,
,,,,
Clicks by URL,,,,
URL,Total Clicks,Unique Clicks,,
http://Wealth.aions.co.za,34,21,,
https://youtu.be/k7dQY489_qI,13,10,,
http://wealth.aions.co.za/invest,11,6,,
https://www.wealth.aions.co.za/welcome,2,2,,
https://www.facebook.com/profile.php?id=100093125621324&sk=about,1,1,,
https://www.instagram.com/aions_exchange/,1,1,,
https://wealth.aions.co.za,1,1,,
https://www.linkedin.com/company/aions-exchange/,1,1,,
